17,13
.           , database    , .           , water       , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , text_lava
database    , .           , .           , water       , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , is
.           , .           , .           , water       , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , melt
water       , water       , water       , water       , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , and
.           , .           , .           , .           , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , defeat
.           , .           , .           , .           , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , flag        , .           , text_flag
.           , .           , text_database, is          , you         , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , is
.           , .           , has         , .           , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , win
.           , .           , text_record , .           , hot         , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , text_water
.           , .           , .           , .           , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , is
text_record , is          , push        , .           , .           , .           , .           , water       , water       , water       , .           , .           , lava        , .           , .           , .           , sink
