25,17
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , text_java   , is          , you         , .           , .           , .           , .           , .           , win         , .           , .           , .           , .           , .           , .           , .           , .
wire        , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , wire
text_git    , wire        , .           , .           , .           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .           , .           , .           , wire        , text_flag
is          , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , is
defeat      , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , push
wire        , wire        , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , git         , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , wire
text_git    , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , text_wire
is          , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , is
text_git    , wire        , .           , .           , .           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .           , .           , .           , wire        , stop
wire        , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , wire
.           , .           , .           , .           , .           , .           , .           , .           , text_git    , extend      , text_flag   , .           , .           , .           , .           , .           , move        , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
